CustomerID,Age,Gender,AnnualIncome,SpendingScore,TimeOnWebsite,PreviousPurchases,ProductCategory,DiscountUsed,Purchased
52,64,Female,142357,93,34,15,Electronics,Yes,1
53,24,Male,100729,27,26,6,Beauty,Yes,1
54,61,Male,48561,1,31,3,Electronics,Yes,1
55,25,Male,70568,34,9,11,Beauty,Yes,1
56,64,Male,129349,68,30,16,Clothing,Yes,1
57,52,Male,93302,88,20,0,Beauty,No,0
58,31,Male,115380,21,21,16,Clothing,No,0
59,34,Male,114968,33,29,1,Sports,Yes,1
60,53,Female,49504,7,59,5,Sports,Yes,1
61,57,Female,136116,65,25,11,Electronics,No,1
62,21,Female,57146,3,38,10,Beauty,Yes,1
63,19,Male,60297,51,58,10,Electronics,Yes,1
64,23,Male,106394,79,44,17,Beauty,Yes,1
65,59,Female,147173,95,25,7,Electronics,No,1
66,21,Male,145942,54,9,6,Sports,Yes,1
67,46,Female,88607,80,39,13,Sports,No,1
68,35,Male,36939,74,44,15,Electronics,Yes,1
69,43,Male,110467,93,26,11,Beauty,Yes,1
70,61,Female,70715,59,57,8,Groceries,No,1
71,51,Female,64460,6,37,19,Beauty,Yes,1
72,27,Female,86576,29,16,15,Electronics,No,0
73,53,Female,88222,17,37,18,Beauty,No,1
74,31,Female,32666,60,12,15,Clothing,Yes,1
75,48,Male,82119,22,24,8,Beauty,No,0
76,32,Male,55321,24,26,12,Sports,No,1
77,25,Male,21779,81,20,4,Sports,Yes,1
78,31,Female,33186,85,9,18,Clothing,Yes,1
79,40,Female,36459,51,23,9,Beauty,Yes,1
80,57,Female,106246,50,39,6,Groceries,No,1
81,38,Female,107755,11,29,8,Beauty,Yes,1
82,33,Female,25057,56,31,13,Sports,Yes,1
83,62,Female,80663,71,19,14,Sports,Yes,1
84,35,Male,38733,42,20,12,Electronics,Yes,1
85,64,Male,39157,39,23,9,Sports,No,0
86,41,Male,55030,69,43,13,Electronics,Yes,1
87,43,Male,39613,48,27,11,Sports,Yes,1
88,42,Male,128612,57,30,18,Sports,Yes,1
89,62,Female,135080,21,21,5,Groceries,Yes,0
90,58,Female,103028,82,44,11,Electronics,Yes,1
91,46,Female,106282,99,35,12,Electronics,No,1
92,32,Female,25188,20,49,7,Sports,Yes,1
93,62,Female,127106,15,7,15,Electronics,Yes,1
94,18,Female,148346,69,22,1,Sports,No,0
95,42,Male,49680,77,10,6,Sports,Yes,1
96,24,Female,123361,51,23,11,Beauty,No,1
97,26,Female,80119,76,15,6,Electronics,No,1
98,41,Female,122302,62,30,18,Clothing,No,1
99,18,Female,94400,85,34,13,Electronics,No,1
100,61,Male,75718,37,13,8,Electronics,Yes,1
101,25,Male,56445,6,4,17,Groceries,Yes,1
102,41,Female,25796,71,18,10,Clothing,No,1
103,28,Male,67218,26,56,15,Clothing,No,1
104,34,Male,59131,8,23,18,Groceries,No,0
105,25,Female,28123,73,33,10,Groceries,No,1
106,52,Female,28222,91,34,17,Electronics,No,1
107,52,Female,44074,4,34,10,Beauty,Yes,1
108,50,Female,131958,21,36,3,Groceries,No,0
109,22,Female,136088,31,35,17,Clothing,Yes,1
110,59,Male,49825,21,17,18,Clothing,No,0
111,56,Female,56839,25,28,12,Electronics,No,1
112,58,Female,127112,15,14,3,Beauty,Yes,0
113,45,Female,147514,35,34,9,Sports,No,1
114,24,Male,88322,49,48,4,Groceries,Yes,1
115,26,Female,76321,43,11,2,Groceries,Yes,0
116,25,Female,119174,41,57,15,Electronics,No,1
117,29,Female,122500,37,13,7,Beauty,No,0
118,51,Male,130100,57,33,6,Clothing,Yes,1
119,50,Female,45988,42,57,18,Clothing,Yes,1
120,40,Female,55507,47,55,13,Sports,No,1
121,41,Female,119244,92,2,14,Clothing,Yes,1
122,54,Male,118644,61,34,16,Groceries,No,1
123,52,Female,145788,14,53,0,Sports,No,0
124,61,Female,115251,68,29,5,Beauty,No,1
125,57,Female,43806,53,37,14,Sports,Yes,1
126,39,Male,56901,84,4,11,Beauty,No,1
127,44,Female,37043,34,12,19,Clothing,Yes,1
128,52,Female,95761,76,26,1,Electronics,Yes,1
129,18,Female,29752,97,58,4,Sports,No,1
130,52,Male,88993,24,28,8,Sports,Yes,1
131,54,Male,62616,20,3,19,Groceries,Yes,1
132,64,Female,72127,69,20,13,Groceries,Yes,1
133,31,Male,94777,30,10,17,Beauty,Yes,1
134,20,Male,20453,88,52,7,Electronics,Yes,1
135,18,Male,95432,7,18,1,Groceries,No,0
136,22,Female,142872,36,53,8,Groceries,No,1
137,43,Female,107362,38,53,6,Clothing,Yes,1
138,31,Male,30976,80,53,17,Clothing,No,1
139,56,Male,134176,52,27,15,Groceries,No,1
140,44,Male,119122,15,31,4,Beauty,No,0
141,26,Female,90404,46,27,14,Electronics,Yes,1
142,32,Female,101932,23,42,4,Groceries,Yes,1
143,32,Male,117170,12,1,10,Beauty,No,0
144,43,Male,97707,93,6,13,Beauty,No,1
145,59,Male,109647,44,11,18,Groceries,No,0
146,30,Male,53688,15,34,2,Beauty,Yes,1
147,49,Female,106840,93,39,9,Sports,Yes,1
148,56,Male,137106,49,20,5,Beauty,No,0
149,49,Female,127810,21,53,2,Groceries,Yes,1
150,21,Male,124779,15,21,1,Beauty,Yes,0
151,47,Male,113789,14,21,12,Groceries,Yes,1
152,54,Male,116516,42,18,17,Clothing,No,0
153,40,Male,22017,80,21,1,Groceries,Yes,1
154,56,Male,27957,15,19,14,Beauty,Yes,1
155,62,Female,134534,63,4,4,Groceries,No,0
156,32,Male,127724,68,13,14,Electronics,No,1
157,60,Male,24792,27,18,16,Groceries,No,0
158,46,Male,75982,87,52,1,Groceries,Yes,1
159,53,Female,33237,93,29,17,Electronics,Yes,1
160,30,Female,71586,53,25,14,Electronics,Yes,1
161,49,Female,101787,52,56,19,Electronics,Yes,1
162,24,Female,39252,63,13,2,Sports,Yes,1
163,39,Male,30707,73,27,4,Groceries,Yes,1
164,45,Male,54206,53,19,10,Electronics,No,1
165,19,Male,114276,57,49,8,Electronics,Yes,1
166,59,Female,23543,52,1,4,Clothing,Yes,1
167,62,Male,64135,43,38,0,Sports,No,0
168,23,Male,136469,7,19,13,Groceries,No,0
169,45,Female,133824,42,52,4,Beauty,Yes,1
170,45,Female,124647,4,1,7,Sports,Yes,1
171,61,Female,55031,69,40,13,Sports,No,1
172,61,Male,62929,5,17,15,Clothing,Yes,1
173,37,Male,85747,75,21,5,Groceries,No,0
174,47,Female,77851,92,22,7,Groceries,No,1
175,28,Male,75311,80,15,1,Electronics,Yes,1
176,45,Female,132113,41,50,18,Electronics,No,1
177,42,Female,125331,94,39,8,Sports,Yes,1
178,56,Male,85867,4,48,4,Clothing,No,0
179,50,Female,108780,2,39,4,Groceries,No,0
180,18,Female,77196,67,32,18,Clothing,No,1
181,44,Female,93705,21,49,3,Beauty,Yes,1
182,30,Male,77894,70,4,15,Groceries,Yes,1
183,58,Female,107640,43,44,15,Electronics,Yes,1
184,20,Female,127437,82,45,15,Sports,Yes,1
185,56,Female,34591,69,32,6,Clothing,Yes,1
186,23,Female,117247,9,4,17,Electronics,Yes,1
187,25,Female,68893,84,53,0,Sports,No,1
188,44,Female,20727,28,1,2,Electronics,No,0
189,26,Female,41359,26,33,7,Groceries,Yes,1
190,54,Male,63822,82,7,0,Clothing,Yes,1
191,50,Male,121547,83,9,6,Beauty,Yes,1
192,59,Female,135336,3,1,6,Electronics,No,0
193,61,Male,123399,73,16,7,Clothing,Yes,1
194,41,Male,132113,100,18,18,Groceries,Yes,1
195,32,Female,108534,95,54,16,Electronics,Yes,1
196,49,Male,30929,49,47,10,Groceries,No,1
197,49,Female,148588,17,6,14,Beauty,No,0
198,41,Female,80091,63,2,8,Beauty,No,1
199,58,Female,100378,55,9,16,Sports,No,1
200,29,Female,43519,23,4,10,Sports,Yes,1
201,56,Female,37393,34,45,5,Sports,Yes,1
202,19,Male,54318,69,23,8,Groceries,Yes,1
203,20,Female,94531,15,54,17,Sports,No,1
204,54,Male,114192,47,43,19,Clothing,Yes,1
205,34,Female,67934,3,45,1,Groceries,No,0
206,19,Female,125796,83,43,3,Groceries,Yes,1
207,19,Female,130805,28,51,17,Sports,Yes,1
208,45,Male,101103,3,8,0,Sports,Yes,0
209,40,Female,48840,4,39,10,Groceries,Yes,1
210,54,Female,138089,88,25,2,Beauty,No,0
211,49,Female,109367,31,16,7,Beauty,No,0
212,50,Female,33265,45,35,4,Sports,No,0
213,18,Male,25424,59,17,19,Beauty,Yes,1
214,36,Female,40625,45,18,4,Clothing,No,0
215,19,Male,99622,75,27,10,Clothing,Yes,1
216,61,Female,49187,37,15,11,Clothing,Yes,1
217,43,Male,55929,65,17,8,Groceries,Yes,1
218,49,Male,81892,9,43,12,Groceries,Yes,1
219,23,Female,40539,17,5,19,Groceries,Yes,1
220,49,Female,76630,65,16,2,Groceries,No,0
221,21,Male,110639,3,15,12,Groceries,No,0
222,28,Female,113410,26,42,10,Sports,Yes,1
223,34,Female,29215,53,46,10,Beauty,Yes,1
224,55,Female,59385,31,34,19,Sports,No,1
225,41,Male,107580,26,48,6,Beauty,Yes,1
226,22,Female,97462,23,19,16,Sports,No,0
227,51,Female,133396,30,8,15,Clothing,Yes,1
228,23,Female,117037,10,47,13,Electronics,No,1
229,39,Male,115310,72,10,0,Groceries,Yes,1
230,28,Female,45008,89,5,10,Electronics,No,1
231,33,Male,68928,64,52,12,Electronics,Yes,1
232,50,Female,103096,22,48,0,Clothing,Yes,1
233,26,Male,109876,15,53,1,Electronics,Yes,1
234,23,Female,44976,56,26,8,Electronics,Yes,1
235,33,Female,133942,74,22,12,Clothing,Yes,1
236,46,Male,144984,20,44,4,Beauty,No,0
237,20,Male,47626,47,23,8,Sports,Yes,1
238,37,Male,118256,87,13,12,Electronics,Yes,1
239,53,Female,120537,53,9,4,Groceries,Yes,1
240,36,Female,79789,53,49,14,Clothing,Yes,1
241,43,Female,24700,1,20,6,Electronics,No,0
242,20,Female,129331,2,28,13,Beauty,No,1
243,36,Male,83645,58,44,15,Beauty,No,1
244,37,Female,140594,19,57,5,Groceries,Yes,1
245,49,Female,93396,62,37,1,Electronics,Yes,1
246,24,Female,27526,78,24,15,Groceries,Yes,1
247,58,Female,123863,72,44,18,Beauty,Yes,1
248,50,Female,59500,12,33,4,Beauty,Yes,1
249,57,Female,88049,26,20,3,Sports,No,0
250,56,Female,93366,27,48,13,Beauty,No,1
251,35,Male,100317,29,30,5,Clothing,No,0
252,57,Female,79117,15,44,7,Sports,Yes,1
253,18,Female,76096,46,9,2,Groceries,No,0
254,28,Female,27910,1,45,3,Beauty,No,0
255,45,Female,101383,60,49,0,Clothing,Yes,1
256,42,Male,91185,92,17,1,Sports,No,0
257,40,Male,70248,57,36,12,Clothing,Yes,1
258,48,Male,94656,3,14,8,Sports,Yes,1
259,47,Male,21951,18,19,11,Sports,Yes,1
260,59,Male,85212,52,7,9,Sports,Yes,1
261,52,Male,95701,60,59,9,Groceries,Yes,1
262,24,Female,99888,34,3,17,Sports,No,0
263,33,Male,95282,96,33,11,Sports,Yes,1
264,43,Male,129274,93,44,15,Clothing,Yes,1
265,19,Female,114533,89,32,5,Sports,No,1
266,18,Male,61954,60,47,9,Groceries,Yes,1
267,29,Female,109719,26,11,14,Clothing,Yes,1
268,22,Female,28804,72,42,8,Sports,No,1
269,54,Male,112705,19,2,1,Clothing,No,0
270,49,Female,20595,22,26,17,Groceries,Yes,1
271,26,Male,49592,93,4,11,Clothing,No,1
272,58,Male,60643,33,17,2,Groceries,Yes,0
273,52,Female,143721,38,17,6,Beauty,No,0
274,36,Female,82665,35,28,8,Sports,No,1
275,33,Male,40823,67,30,7,Groceries,Yes,1
276,20,Female,25972,83,40,5,Sports,Yes,1
277,37,Female,35882,10,23,0,Groceries,Yes,0
278,41,Male,86394,91,46,13,Electronics,No,1
279,50,Male,91055,15,24,15,Electronics,No,0
280,41,Female,43769,11,29,15,Electronics,No,1
281,28,Male,45020,90,4,3,Groceries,Yes,1
282,25,Male,62748,24,38,5,Sports,No,0
283,53,Male,122621,77,29,14,Electronics,Yes,1
284,55,Male,105374,96,19,7,Sports,Yes,1
285,57,Male,64912,4,27,0,Groceries,No,0
286,37,Male,32879,13,29,12,Sports,No,1
287,52,Male,53798,73,56,17,Sports,No,1
288,42,Female,127791,57,36,17,Electronics,No,1
289,52,Male,109826,98,35,12,Clothing,No,1
290,42,Female,66073,37,52,13,Beauty,Yes,1
291,46,Female,95791,48,6,10,Groceries,No,0
292,35,Female,86983,71,59,6,Groceries,Yes,1
293,63,Male,63005,1,23,17,Groceries,No,0
294,35,Male,114731,60,39,3,Beauty,No,1
295,19,Female,22850,12,46,16,Clothing,Yes,1
296,52,Male,48400,21,44,18,Sports,No,1
297,33,Female,144948,11,48,13,Groceries,No,1
298,58,Male,31953,44,52,9,Sports,Yes,1
299,53,Male,126410,58,8,5,Electronics,Yes,1
300,50,Female,145155,44,55,17,Electronics,No,1
301,21,Female,43535,78,2,3,Electronics,No,0
302,50,Female,95536,98,13,10,Groceries,No,1
303,31,Male,95039,34,40,12,Beauty,Yes,1
304,38,Female,141640,25,57,7,Groceries,No,1
305,37,Male,101029,4,21,9,Electronics,No,0
306,25,Male,24055,64,31,10,Electronics,No,1
307,24,Male,58170,90,52,2,Groceries,Yes,1
308,20,Female,145331,16,48,14,Beauty,No,1
309,34,Female,117944,10,36,7,Beauty,Yes,1
310,50,Female,127585,66,48,19,Sports,Yes,1
311,29,Male,119976,35,52,17,Clothing,Yes,1
312,39,Male,48251,83,38,0,Electronics,Yes,1
313,39,Female,24532,6,27,7,Beauty,Yes,1
314,63,Male,24924,19,36,2,Electronics,No,0
315,47,Male,68037,59,48,0,Clothing,Yes,1
316,55,Female,98082,53,23,19,Electronics,No,1
317,55,Female,112115,8,55,15,Beauty,No,1
318,62,Female,91621,78,21,8,Sports,Yes,1
319,25,Male,97926,10,13,16,Groceries,Yes,1
320,44,Male,98816,67,37,15,Groceries,Yes,1
321,44,Male,109654,38,47,5,Beauty,Yes,1
322,51,Male,90400,29,26,6,Beauty,No,1
323,38,Male,127620,15,40,15,Clothing,No,1
324,47,Female,119525,87,7,7,Electronics,Yes,1
325,50,Male,121164,23,46,9,Clothing,Yes,1
326,45,Male,112385,82,39,13,Groceries,No,1
327,64,Male,113102,46,22,10,Electronics,No,0
328,50,Female,30702,83,39,1,Clothing,Yes,1
329,22,Female,126732,28,23,11,Groceries,No,0
330,36,Female,35385,26,58,19,Electronics,No,1
331,21,Male,29336,10,30,19,Sports,No,1
332,52,Female,85421,47,18,12,Sports,Yes,1
333,34,Female,51225,4,42,14,Clothing,Yes,1
334,61,Female,56021,55,18,11,Beauty,No,1
335,45,Male,23782,66,46,12,Electronics,Yes,1
336,47,Female,108877,67,10,7,Clothing,No,1
337,46,Male,135454,7,39,15,Beauty,No,1
338,63,Male,137369,55,30,2,Beauty,Yes,1
339,23,Female,109630,80,26,12,Electronics,Yes,1
340,52,Male,69111,31,7,11,Electronics,No,0
341,58,Female,109402,74,7,18,Beauty,Yes,1
342,54,Male,139774,19,5,1,Groceries,Yes,0
343,41,Female,142652,28,1,0,Clothing,Yes,0
344,46,Female,104585,81,46,7,Electronics,Yes,1
345,63,Female,62719,28,18,8,Beauty,No,0
346,48,Male,116528,19,13,7,Groceries,No,0
347,52,Female,69037,87,25,16,Sports,Yes,1
348,50,Male,100103,20,40,8,Beauty,No,1
349,38,Female,129987,13,8,5,Groceries,Yes,0
350,49,Male,145695,77,10,14,Sports,Yes,1
351,40,Male,23513,43,32,12,Groceries,Yes,1
352,50,Female,135183,11,17,11,Electronics,No,0
353,20,Female,33335,48,38,12,Beauty,No,1
354,35,Female,64140,15,15,6,Sports,No,0
355,42,Female,124126,17,15,17,Groceries,Yes,1
356,59,Female,100373,54,57,13,Sports,No,1
357,48,Male,97658,50,48,10,Clothing,No,1
358,20,Female,54840,28,40,13,Beauty,Yes,1
359,57,Female,51007,83,51,16,Electronics,Yes,1
360,63,Male,76947,4,20,1,Sports,Yes,0
361,41,Female,126833,22,15,18,Groceries,Yes,1
362,49,Female,138637,86,35,15,Sports,No,1
363,64,Male,140721,39,6,9,Groceries,No,0
364,39,Female,113220,34,30,7,Sports,Yes,1
365,40,Female,46393,97,57,4,Electronics,Yes,1
366,19,Female,77480,44,8,6,Electronics,Yes,1
367,44,Male,137243,42,31,12,Beauty,Yes,1
368,59,Female,108290,40,48,15,Electronics,No,1
369,19,Male,106335,97,47,4,Sports,Yes,1
370,43,Female,124263,12,32,15,Sports,Yes,1
371,34,Male,29107,2,45,14,Electronics,No,1
372,57,Female,148181,28,58,8,Clothing,Yes,1
373,50,Male,25993,74,52,11,Sports,Yes,1
374,26,Male,116341,86,15,7,Beauty,Yes,1
375,60,Male,113650,81,18,12,Clothing,Yes,1
376,56,Male,123325,90,13,4,Electronics,Yes,1
377,46,Male,144980,67,24,13,Groceries,No,1
378,59,Male,137595,71,40,15,Sports,No,1
379,43,Female,72066,72,14,10,Groceries,No,1
380,52,Female,131850,84,28,19,Beauty,No,1
381,42,Male,62942,76,11,11,Clothing,Yes,1
382,41,Male,36138,99,6,14,Groceries,Yes,1
383,30,Male,138558,81,56,11,Beauty,Yes,1
384,24,Male,147408,92,25,8,Groceries,Yes,1
385,53,Female,64527,10,1,0,Groceries,Yes,0
386,62,Male,29190,86,25,2,Beauty,Yes,1
387,37,Female,112259,57,2,11,Sports,No,1
388,18,Female,139773,97,32,19,Groceries,Yes,1
389,25,Male,98422,86,13,12,Beauty,Yes,1
390,63,Male,75698,37,33,5,Groceries,No,0
391,33,Female,102315,77,32,9,Sports,No,1
392,31,Female,113710,91,56,9,Beauty,Yes,1
393,29,Male,49086,64,24,15,Groceries,No,1
394,40,Male,37322,79,27,0,Electronics,No,1
395,32,Male,128132,86,4,15,Sports,Yes,1
396,45,Female,145604,94,24,3,Groceries,Yes,1
397,51,Female,120814,40,23,5,Clothing,No,0
398,19,Male,139324,98,29,18,Beauty,No,1
399,49,Female,103569,60,34,1,Groceries,No,1
400,40,Female,105610,98,21,17,Sports,No,1
401,39,Male,148921,48,30,9,Sports,No,1
402,42,Male,23435,99,26,3,Clothing,No,1
403,39,Female,121505,19,20,0,Clothing,Yes,0
404,39,Female,73331,72,16,14,Groceries,Yes,1
405,59,Male,48942,33,3,9,Electronics,No,0
406,23,Male,79635,44,49,17,Sports,No,1
407,32,Male,49059,92,37,15,Electronics,Yes,1
408,60,Male,77557,37,58,12,Electronics,No,1
409,54,Male,133457,89,40,14,Groceries,Yes,1
410,50,Female,72389,36,44,1,Beauty,No,0
411,25,Female,73014,81,25,19,Beauty,No,1
412,61,Female,52826,88,23,3,Beauty,No,0
413,61,Female,50297,21,44,0,Clothing,No,0
414,22,Male,63890,2,59,6,Sports,Yes,1
415,56,Male,41322,31,1,10,Clothing,Yes,1
416,21,Male,55739,97,33,9,Sports,Yes,1
417,23,Female,29719,30,15,0,Sports,Yes,0
418,62,Female,99553,76,17,10,Sports,No,1
419,49,Female,28314,44,34,9,Groceries,Yes,1
420,47,Male,113831,12,17,13,Beauty,Yes,1
421,64,Female,95164,51,52,13,Clothing,Yes,1
422,52,Male,127658,49,58,6,Clothing,No,1
423,57,Male,97028,24,41,10,Groceries,No,1
424,33,Male,56113,24,44,3,Sports,No,0
425,30,Male,137174,60,4,1,Beauty,No,0
426,59,Male,35357,11,13,6,Electronics,No,0
427,47,Male,118865,13,4,18,Electronics,Yes,1
428,36,Female,40365,91,7,13,Groceries,Yes,1
429,34,Male,59029,72,46,18,Beauty,Yes,1
430,36,Male,21737,74,59,6,Electronics,Yes,1
431,45,Female,94632,72,9,11,Electronics,No,1
432,43,Male,105474,64,23,2,Clothing,Yes,1
433,54,Female,98218,20,33,14,Beauty,No,1
434,43,Female,144606,72,33,4,Electronics,No,1
435,40,Female,47499,73,20,7,Clothing,Yes,1
436,26,Male,130027,71,4,13,Beauty,Yes,1
437,29,Male,130402,78,1,3,Sports,Yes,1
438,18,Female,148692,28,54,6,Beauty,Yes,1
439,18,Male,127430,2,42,6,Groceries,Yes,1
440,64,Male,66157,43,34,17,Clothing,No,1
441,51,Female,76247,8,27,13,Sports,Yes,1
442,49,Female,148411,13,21,7,Clothing,No,0
443,42,Male,61034,85,24,11,Clothing,No,1
444,57,Female,20294,92,15,9,Electronics,Yes,1
445,62,Female,118072,35,35,13,Beauty,No,1
446,18,Female,44596,23,25,8,Clothing,No,0
447,33,Male,118185,46,55,5,Clothing,No,0
448,56,Male,31434,15,9,4,Groceries,No,0
449,22,Male,78382,2,17,0,Groceries,No,0
450,39,Female,58098,61,21,0,Groceries,Yes,1
451,46,Male,24655,76,13,19,Clothing,Yes,1
452,20,Female,103029,64,3,16,Sports,Yes,1
453,29,Male,66228,52,4,10,Beauty,No,1
454,43,Male,23771,36,4,11,Clothing,No,0
455,33,Female,94099,67,43,2,Electronics,Yes,1
456,54,Male,140811,69,28,5,Sports,No,1
457,39,Female,76799,67,7,10,Sports,No,1
458,46,Male,82257,47,26,12,Beauty,No,1
459,31,Male,37558,83,11,10,Sports,No,1
460,45,Female,119468,2,24,7,Beauty,No,0
461,22,Female,78436,44,43,9,Sports,Yes,1
462,64,Female,127779,64,10,1,Beauty,Yes,1
463,47,Male,144891,81,37,13,Groceries,No,1
464,63,Male,143725,78,13,15,Groceries,Yes,1
465,22,Male,112103,28,44,16,Sports,Yes,1
466,29,Female,143400,91,42,10,Sports,No,1
467,33,Female,52376,54,39,1,Beauty,Yes,1
468,43,Female,139154,74,19,4,Beauty,Yes,1
469,43,Male,107458,67,51,15,Clothing,No,1
470,38,Male,97924,36,19,15,Groceries,Yes,1
471,56,Female,49332,63,12,1,Clothing,No,0
472,53,Male,66737,25,52,15,Clothing,Yes,1
473,50,Female,109031,86,22,4,Electronics,Yes,1
474,47,Male,93970,48,47,7,Beauty,Yes,1
475,54,Male,71952,39,37,19,Electronics,Yes,1
476,40,Female,40991,47,56,13,Electronics,No,1
477,27,Male,47472,94,30,9,Clothing,No,1
478,22,Male,79946,21,46,1,Electronics,Yes,1
479,53,Female,125566,30,12,2,Beauty,No,0
480,51,Female,46849,92,29,17,Clothing,No,1
481,48,Male,21541,31,21,1,Beauty,Yes,0
482,27,Female,149237,26,11,8,Sports,Yes,1
483,36,Male,22765,22,37,1,Electronics,No,0
484,49,Female,63074,21,48,6,Clothing,No,1
485,18,Male,122795,1,58,6,Groceries,No,1
486,22,Male,49283,37,18,13,Beauty,No,0
487,62,Female,121387,77,44,4,Electronics,Yes,1
488,21,Male,140044,85,59,7,Beauty,No,1
489,33,Male,120161,46,27,17,Beauty,No,1
490,41,Female,20769,9,37,5,Sports,No,0
491,33,Female,37806,17,48,13,Beauty,Yes,1
492,19,Male,110518,47,12,17,Sports,No,0
493,45,Female,22972,85,23,16,Sports,No,1
494,49,Female,38256,95,34,8,Sports,Yes,1
495,44,Male,123903,59,38,12,Electronics,Yes,1
496,37,Male,145574,54,23,15,Beauty,No,1
497,41,Female,38653,86,53,9,Beauty,Yes,1
498,29,Female,123579,12,25,9,Sports,No,0
499,52,Female,106669,64,4,3,Beauty,No,0
500,50,Male,59339,6,30,11,Beauty,Yes,1
501,50,Male,45757,53,30,7,Sports,Yes,1
502,60,Male,123376,16,13,14,Groceries,Yes,1
503,54,Male,62399,90,42,18,Groceries,No,1
504,29,Male,64013,5,49,14,Sports,Yes,1
505,20,Male,117605,73,14,7,Electronics,No,1
506,18,Male,34706,46,56,7,Beauty,Yes,1
507,50,Female,58231,14,47,18,Beauty,No,1
508,57,Female,47909,44,8,8,Groceries,No,0
509,27,Male,125754,63,55,16,Sports,Yes,1
510,60,Male,145777,94,24,7,Electronics,Yes,1
511,61,Male,96631,52,18,11,Sports,No,1
512,46,Female,77572,26,35,14,Groceries,Yes,1
513,30,Male,105879,53,25,3,Groceries,Yes,1
514,29,Female,83767,29,17,5,Beauty,Yes,0
515,48,Female,46469,19,32,15,Clothing,Yes,1
516,63,Female,21313,47,56,4,Electronics,Yes,1
517,19,Female,27847,8,24,12,Electronics,Yes,1
518,52,Female,70222,23,7,14,Clothing,Yes,1
519,40,Male,94702,35,13,16,Groceries,No,0
520,34,Male,29930,95,27,19,Sports,Yes,1
521,43,Female,23285,53,48,4,Electronics,No,1
522,25,Male,143637,99,5,18,Clothing,Yes,1
523,46,Female,55863,96,36,6,Beauty,No,1
524,43,Female,36704,58,26,2,Beauty,No,1
525,27,Male,38705,5,42,12,Groceries,Yes,1
526,43,Male,20555,16,45,13,Electronics,Yes,1
527,51,Male,41323,17,31,15,Sports,Yes,1
528,58,Male,90968,32,10,12,Electronics,Yes,1
529,24,Male,86922,96,46,1,Beauty,No,1
530,21,Female,73915,52,26,13,Electronics,No,1
531,62,Male,129543,20,22,19,Beauty,Yes,1
532,28,Male,30619,66,12,6,Clothing,No,1
533,46,Male,92390,84,32,4,Clothing,Yes,1
534,53,Female,148918,82,27,13,Beauty,No,1
535,42,Male,128500,1,33,8,Sports,Yes,1
536,38,Female,134337,58,53,9,Sports,No,1
